,review
2449,"If you hit your teens in the 70s, as I did, you probably remember the stories about Studio 54 whether or not you liked disco. An exclusive club, it was the perfect symbol of 70s cultural overindulgenc"
2450,"Please humour me if you will, for a minute while I read you the back of the ALLEY CAT VHS box. It says that:<br /><br />In this part of the city every street is a dead end- on every corner something t"
2451,"Before this little black-and-whiter, the touchy topic of criminal rape never made it onto the American screen.There were lots of these topics that Hollywood and the Production Code kept hidden until t"
2452,"Everyone does things that they later regret. Things that they wish they could blame on drugs or alien possession. Things that although seem rational at the time, later reveal themselves to be engraved"
2453,"Ram Gopal Verma has proved himself as a very innovative and competent director. He had done a remake/reworking of Godfather with Sarkar, and succeeded tremendously. Ditto for Lolita which he made as N"
2454,"This is to the Zatoichi movies as the ""Star Trek"" movies were to ""Star Trek""--except that in this case every one of the originals was more entertaining and interesting than this big, shiny re-do, and "
2455,"When you get your hands on a British film you expect some sort of quality. And when it comes to acting, camera work, lighting etc; this film does the business. It's done by highly skilled craftsmen. T"
2456,"The silent film the Pride of the Clan starring Mary Pickford was supposed to be set in a fictional island off the coast of Scotland. In actuality, most of the exterior shots were filmed in Marblehead "
2457,A fey story of a Martian attempt to colonize Earth. (Things must be pretty bad back on Mars.) Two state troopers investigate the scene of a reported UFO crash. Whatever landed is buried under the ice 
2458,Hello Mary Lou: Prom Night II starts at the Hamilton High School prom of 1957 where Mary Lou Maloney (Lisa Schrage) is cheating on her date Bill Nordham (Steve Atkinson) with Bud Cooper (Robert Lewis)
2459,"This little film had long been on my ""keeper"" list. Do people realize how stressed out, menopausal, emotionally abused women (as well as the mentally retarded) were REALLY treated by the medical profe"
2460,"BEGIN SPOILER: Fitfully funny and memorable for Mr. Chong's literal roach-smoking scene: Chong coolly mashes a stray kitchen cockroach into his pipe's bowl, lights up, coughs and hacks violently for a"
2461,"okay, but just plain dumb. Not bad for a horror/comedy film. I was reading how people switched it with the Michael version and that is a good trick in my opinion because some grown ups hate horrors an"
2462,"I personally liked ""The Prophecy"" of 1995 a lot. Christopher Walken was, as always, great, and even though the film wasn't flawless, it was a creepy and highly original Horror/Fantasy film that entert"
2463,"By 1976 the western was an exhausted genre and the makers of this film clearly knew it. Still, instead of shelving the project and saving us from having to watch it, they went ahead and made it anyway"
2464,(spoilers??)<br /><br />I wasn't sure what to think of the movie. Not too much of a kids film. Definately should be watched with a parent because it includes death and dying. But I was surprised that 
2465,"This 1997 film-blanc classic tale of smoldering passion has achieved its well-deserved legendary status as one of the screen's greatest sagas of a doomed and hopeless love. The pervasive, ongoing and "
2466,"Kubrick meets King. It sounded so promising back in the spring of 1980, I remember. Then the movie came out, and the Kubrick cultists have been bickering with the King cultists ever since.<br /><br />"
2467,"Was this based on a comic-book? A video-game? A drawing by a 3 year-old? <br /><br />There is nothing in this movie to be taken seriously at all; not the characters, not the dialog, not the plot, not "
2468,Incarcerated train robber near Yuma breaks free his chain-gang and heads for the retired sheriff responsible for killing his wife (as well as a hidden stash of gold which remains hidden thanks to the 
2469,"I don't see enough TV game shows to understand the attraction of SHOW ME THE MONEY, but I suppose it holds some appeal for undemanding audiences. Ostensibly a quiz show, it offers contestants huge sum"
2470,I watched this movie on the grounds that Amber Benson rocks and Nick Stahl is generally pretty cool - I figured that any film featuring two actors I like and respect couldn't be all bad. And in that s
2471,Now i have read some negative reviews for this show on this website and quite frankly I'm appalled. For anyone to even think that the Sopranos is not Television then i'm afraid i don't know what the w
2472,"I must admit that I was very sceptical about this documentary. I was expecting it to be the kind of All American Propaganda that we here in Europe dislike so much. I was wrong. This is NOT propaganda,"
2473,"I saw ""Myra Breckinridge"" when it first came out in 1970. I was a healthy 20-year-old at the time, who loved movies and really liked Raquel Welsh. On top of that, I had read the Gore Vidal novel it wa"
2474,"I must admit, there are few books with corresponding movies that I have actually read before seeing the cinematic adaptation. Nineteen Eighty-Four happens to be one of those rare cases. The book was g"
2475,"On the 1998 summer blockbuster hit BASEketball (1998): ""This is one of those movies that is usually seen on the big jumbo-tron screen in a sports bar during the day - when everyone is quite drunk. Unf"
2476,The movie is about two brothers that are supposed to be alike - but are not in any way expect for being smart - one is a surgeon and they other is able to write a computer code. Geniuses as they like 
2477,"Williamson's accent is tough to wade through. He speaks incredibly quickly, like he is in a rush to get through the lines. During the soliloquies he acts as if he is talking to someone, when he is sup"
2478,"Great cast. Great acting. Unpredictable story line for the first half<br /><br />hour or so. I was really wanting to know what was going to<br /><br />happen to each of these unredeeming characters, a"
2479,"First off, I'd like to make a correction on another review of this film which said that the last musical to win the Best Picture Academy Award was 'Gigi' in 1958. That is misinformation as 'West Side "
2480,"I had seen Lady with Red Hair back when it appeared, and didn't remember it as something to cherish. The truth is that, notwithstanding its base in a true story, its screen play is silly and unbelieva"
2481,"It's been about 14 years since Sharon Stone awarded viewers a leg-crossing that twisted many people's minds. And now, God knows why, she's in the game again. ""Basic Instinct 2"" is the sequel to the sm"
2482,"I have been waiting for this movie a long time. Especially because Juhi Chawla is in this, she's a great actress.<br /><br />This movie contains six stories. It's a new concept flew over from Hollywoo"
2483,"Okay, let's start off by saying this film is not an exact rendition of the crimes and legal pursuit of Andrei Chikatilo. While it may have been ""official policy"" in the Politburo that the USSR had no "
2484,"Let's cut to the chase: If you're a baby-boomer, you inevitably spent some time wondering at the fact that, in 1976, McCartney had the gumption to drop in on John's city hermit life and spend the day "
2485,"The first one meant victory. This one means defeat. It takes place in a Bolivia, there the guerillas are sick and wary and don't meet that much sympathy from the farmers. If you know your 60s history,"
2486,Scary Movie 3 isn't as funny as its predecessors but its still has its funny moments. It all begins when roving reporter Cindy Campbell sets out to find a hard news story in the middle of television s
2487,"The only reason I give this movie 8/10 stars, and not 10, is because 1) Sinatra is awful and 2) the love interest of Kelly's character leaves much to be desired, (IMHO). Do love that Dean Stockwell, Q"
2488,"This is a family film, which to some people is an automatic turn off. It seems that too many people do not want to see films that are not loaded down with failing arms and legs, gratuitous violence an"
2489,"I have never read the Bradbury novel that this movie is based on but from what I've gathered, it will be interesting (when I finally do read it and I will). My comments will be based purely on the fil"
2490,"I saw this movie a few days ago and gamely jumped during the scary parts. I must admit, I found it pretty decent...until I started to THINK about what the characters were saying. Logical problems:<br "
2491,The director Sidney J. Furie has created in Hollow Point a post-modern absurdist masterpiece that challenges and constantly surprises the audience. <br /><br />Sidney J. Furie dares to ask the questio
2492,"I did not see this film in the theater. I confess to an anti-Vinnie Barbarino bias. Who the hell was John Travolta to be making movies? I remember the Oscar broadcast that year, with Travolta looking "
2493,"A huge hit upon release with Australian audiences, it can still be funny today, but its over-the-top political incorrectness and blunt, unsubtle humour can make it a bit of a cringer. It goes on far t"
2494,"Cedric Kahn's films have been character-based, rather than action-based (I'm thinking of L'Ennui and Feux rouges) so it is jarring to see this series of really expert car chases interspersed with some"
2495,"We all knew even before it aired, the Ron Moore mini-series is no Battlestar Galactica. That's fine. It just means it must stand on its own. It can't lean on Battlestar Galactica. If it's any good, it"
2496,"While Bondarchuk was by no means a young man when he was commissioned to work on this project, he was still a novice director with only a single pictures, a successful adaptation of a short WWII story"
2497,"Sometime in 1998, Saban had acquired the rights to produce a brand-new Ninja Turtles live-action series. Naturally, being a fan of the TMNT back in the day, this obviously peaked my interest. So when "
2498,"I won't try to speculate as to what Brando was attempting. At his best he turns in such oddball performances, insinuating so many things at once, that it doesn't seem he does anything so much as play "
2499,Dakota (1988) was another early Lou Diamond Phillips starring vehicle. This film is similar to the later released film Harley. There are a few differences but they're both the same. I don't know which
2500,"First things first: I'm not a conservative. And even though I would never refer to myself as a liberal or a Democrat, I was opposed to the war in Iraq from day one. I think it's safe to say John Cusac"
2501,"Audrey, I know you truly cherish your husband Ted's memory but PLEASE do his legacy justice and heed his wishes. Dr. Seuss refused to license his characters during his lifetime for a very good reason."
2502,"First of all, let's get a few things straight here: a) I AM an anime fan- always has been as a matter of fact (I used to watch Speed Racer all the time in Preschool). b) I DO like several B-Movies bec"
2503,The photography of this bid-budget production is surprisingly bad. Colors are muddy and brownish and the photography has very 80ish look to it. Direction and editing are often quite uninspired and TV-
2504,"The London Underground has something inherently creepy about it, with its long winding tunnels, the escalators taking you deeper and deeper underground, and of course the rats roaming the tracks.It a "
2505,"I had never heard of this one before it turned up on Cable TV. It's very typical of late 50s sci-fi: sober, depressing and not a little paranoid! Despite the equally typical inclusion of a romantic co"
2506,"I saw ZP when it was first released and found it a major disappointment. Its script seemed forced and arch and too fakey '60s. It's politics too upfront and ridiculous. And let's face it, I was still "
2507,"OK, OK, don't get bent out of round. I was kidding.<br /><br />""Bustin' Out"" is actually a better and truer title anyhoo.<br /><br />Racism and crime dramas get the satiric treat meant from our X-rate"
2508,"Final Score (an average of various classic cinematic qualities- acting, visuals, creativity, payoff, humor, fun, ect):<br /><br />4.3 (out of 10)<br /><br />Had ""Atlantis: The Lost Empire"" come out a "
2509,"This may be the only film that actually comes close to capturing on film the essentially uncapturable world of the American college experience of the late 60s-early 70s. Go ahead, name another movie t"
2510,"The DVD for ""Danaza Macabra"" (Castle of Blood) is very odd. That's because parts of the film are in French with subtitles and the rest is dubbed into English from the French. Sometimes, characters swi"
2511,"There is a bit of a spoiler below, which could ruin the surprise of the ONE unexpected and truly funny scene in this film. There is also information about the first film in this series.<br /><br />I c"
2512,"Back (again) in Scotland, Lassie is (again) on trial for her life. Because the faithful dog sleeps on her master's grave, she must be put to death, according to law. Oddly, it is also explained that L"
2513,"At first, I hadn't read the novel so far and I hadn't hear anything about the author yet. But as I casually saw this movie, I was totally captive by the story. Already as the Jewish watchman primary s"
2514,"There are probably more people afraid of the dentist than of, let's say, little monsters or scary looking dolls. Which makes it a perfect subject for a horror movie, really.<br /><br />Dr. Feinstone ("
2515,"Talented detective Mr. Philo Vance (William Powell) cancels his overseas trip to investigate an apparently cut and dried case of suicide he has good reason to suspect is really something much more, a "
2516,Every now and again you hear radio djs inviting listeners to nominate movies that the listener can't stand or never watched all the way through. This is the movie that I think of...days later.<br /><b
2517,"I just saw this movie at a sneak preview and all I can say is...""What did I just watch????"" And I mean that in a good and bad way.<br /><br />The plot is really simple. Stiller and Black play friends/"
2518,"OK, first of all, ignore the last person' review. They admit to falling asleep through it so it's no wonder they didn't understand what was going on!!! As thriller/horrors go, this film ain't too bad,"
2519,"The title above is used to introduce the film ""Gen"" to its audience. Gen is about a young doctor(Doga Rutkay) with an ill mother. The film starts with her leaving her mother behind to start her new jo"
2520,"Jay Chou plays an orphan raised in a kung fu school, but kicked out by the corrupt headmaster after fighting with a bunch of thugs in the employ of a nefarious villain. He happens upon down-on-his-luc"
2521,"You're waiting to see if the remake is better or worse. I rated the Audie Murphy movie a 3 (I'm a harsh grader), the second lowest I ever gave Audie (the worst being ""Battle at Bloody Beach"" if you're"
2522,"I had a lot of expectations from this movie and more so since it was a Yashraj Film.<br /><br />Jimmy operates a call centre and one day he is invited by Pooja Singh to teach her boss, Lakhan Singh, E"
2523,The good thing about this film is that it stands alone - you don't have to have seen the original. Unfortunately this is also it's biggest drawback. It would have been nice to have included a few of t
2524,"I think it was Ebert who gave Stella four out of four stars but, other than his, I have never read a positive review of this sadly misunderstood drama about class divisions, love, and sacrifice (three"
2525,"I am not so much like Love Sick as I image. Finally the film express sexual relationship of Alex, kik, Sandu their triangle love were full of intenseness, frustration and jealous, at last, Alex waked "
2526,"You will recognize the plot immediately. Daughters of a divorced couple trying to get Mom and Dad back together again. Yes, that was the theme of The Parent Trap in the 60s, 80s and 90s. But here's th"
2527,"I saw this movie about 5 years ago, and the memory of it still haunts me to this day. I was fully aware at how awful it was supposed to be going into it, so I have only myself to blame. But like most,"
2528,"Some people loved ""The Aristocrats"" and others hated it, frequently walking out in the middle. Reactions to Eddie Izzard aren't likely to be that extreme -- if you can handle a transvestite comedian ("
2529,I thought it was not the best re-cap episode I've every seen (though my viewing partner handed me a tissue in anticipation of the Brendan Fraser moment...*sigh*). It was nice to see Cox outside of the
2530,"I have to admit that i liked the first half of Sleepers. It looked good, the acting was even better, the story of childhood, pain and revenge was interesting and moving. A superior hollywood film. But"
2531,Cecil B. deMille's 1922 parlor-to-prison tearjerker Manslaughter finds the lovely Leatrice Joy as a good-at-heart but decadent young lady with more money than she knows what to do with. Her recklessne
2532,"This movie is without a doubt a perfect 10/10.. for all you people out there who are rating this film low grades because it has no ""good plot"" or anything like that, thats ridiculous, saying that a Ja"
2533,"Someone(or, something thing..)is leaving puncture marks on the jugular and draining victims of their blood till dead. Police detective Karl Brettschneider(Melvyn Douglas, before slipping out of the B-"
2534,"""Shore Leave"" is mostly an average Star Trek adventure. Nothing wrong with the episode, though. I simply think that this is not the best representation of what the show had to offer to fans. It is lig"
2535,"This movie was promising: my favorite actor in a historical drama during the Independence war. It had memories from ""Dances With Wolves"" for the big prairies, Indians, military fights & from ""Barry Ly"
2536,"Well, what can I say.<br /><br />""What the Bleep do we Know"" has achieved the nearly impossible - leaving behind such masterpieces of the genre as ""The Postman"", ""The Dungeon Master"", ""Merlin"", and so"
2537,"This is indeed quite the strange movie... First, we have an ex-U.S.-gymnast trying to turn actor (or something), and this seems to be the only role he ever got (that I know of anyway) -- and for good "
2538,"As a fan of Science-fiction movies, I have been aware of The Matrix since its release in 1999. From the little bit I would allow people to tell me about it, I assumed it was highly original and sophis"
2539,A serial killer dies in a snowstorm and gets mutated into Frosty the Snowman's evil twin. Then goes on a killing spree. Interesting plot. Sounds scary. And it is scary. If you're five years old. Other
2540,This could be a 10 if it wasn't for the quite predictable and hollywood-ish scenario. Daniel Day-Lewis confirms its position as one of the leading actors of our time (why not THE leading may I ask) an
2541,"Though ""The Sopranos"" is yet another gift from the megahit ""The Godfather"" and sequels, which dramatized and to a certain extent glamorized the mafia, ""The Sopranos"" takes another tack. No suited up, "
2542,The premise for Circle of Two is an intriguing one. A forbidden love between a sixty year old painter Ashleigh (Richard Burton) and a fifteen year old girl Sarah Norton (Tatum O'Neill); and the questi
2543,"We now travel to a parallel universe where the appearance of giant prehistoric monsters flattening cities are part of the daily routine. It's the world of Godzilla, Rodan, Mothra Ghidrah and their kin"
2544,"If you have read the book - do not set your hopes high, if you have not - go read it, and never watch the film. It is strange to learn that Toby Young was actually involved a lot in the writing of the"
2545,I'm a huge fan of Ivan Reitman-I loved Evolution and who didn't like Ghostbusters? From the trailer you already know that Uma's character will get dumped by Luke's.So the build-up is obviously towards
2546,"I've said this in other reviews, without a story, you can give the audience all the smoke and mirrors you want, still no one will give a damn.<br /><br />The director seems to have a great eye for 30s"
2547,"Guy Richie's third proper film (not counting the God-awful ""Swept Away"" is a complex action thriller concerned with gambling, gangsters and chess. Fans of Richie's previous efforts will probably hate "
2548,"Trifling romantic drama directed by Clint Eastwood about the loving relationship which grows between a comely hippie (Kay Lenz) and a Los Angeles real estate agent in his golden years (William Holden,"
2549,I actually didn't start watching the show until it came on FX. I was bored and had nothing to watch and saw that the show's reruns were premiering so i decided to watch it. I was so upset that I had n
2550,"I only wish that Return of the Jedi, have been directed by somebody else, I mean, there is far too much ewoks scenes, completely unnecessary. Besides this time our heroes look like different people: P"
2551,"SPOILERS THROUGHOUT: <br /><br />The Gettaway is mostly an action movie. And what action there is to!! Shootouts, chases, dumpsters and much much more. It stars Kim Bassenger and Alec Baldwin as the M"
2552,"Over the years, we've seen a lot of preposterous things done by writers when the show just had to go on no matter what, keeping ""8 Simple Rules"" going after John Ritter died comes to mind, but this is"
2553,"I love this movie, but the music at all the alumni gatherings is just stupid.<br /><br />The fateful game took place in 1972. That means that the protagonists graduated in 1972. But almost all of the "
2554,"I had some expectation for the movie, since it had a nice star cast and it is the return of the duo of Akshay and Saif. Well, I was hesitant to watch the movie because this was done by the same man wh"
2555,"Well OK, I watched this movie a little over 2 years ago and now I pulled it out of the dusty shelf to watch it again and I must say, I actually think this movie is good. This movie caught a buzz as th"
2556,"I remember this film, exhibit in Barcelona (Spain) in 1970, for the time of a week. Although it could seems incredible, and I can't offer any explanation for it, this movie was exhibit in a theater de"
2557,So your bairns are away on a sleep-over ? The wife is visiting the mother in law? You though are at home. It's a dark and stormy night and there is no football on the telly and the dishwasher needs st
2558,"""Protocol"" is a hit-and-miss picture starring Goldie Hawn as a bubbly cocktail waitress who one night saves the life of a visiting Arab from an assassination attempt. The woman immediately becomes a c"
2559,"Do NOT judge this production by the 2-hour version that was released on VHS in the US, which is a choppy and incomprehensible mess. I had the pleasure of watching the full-length 6-hour version availa"
2560,"Not a knock on Korman as he was very funny on the Carol Burnett show. He was also good at playing secondary characters in Mel Brooks' movies (""High Anxiety"" comes to mind). He is, however, not a perso"
2561,I don't know...Maybe it's just because it's an impressive tribute to some Muslim religious action(hajj)but I just felt the movie is so underrated. I just can't believe that the movie has just been vot
2562,"I am a big 1930's movie fan and will watch most anything that I see on Turner Classic Movies thats new for me. So I gave this a shot, after all it's the great Harold Lloyd who rivaled Chaplin as a gre"
2563,"This cartoon was strange, but the story actually had a little more depth and emotion to it than other cartoon movies. We have a girl at a camp with low self esteem and hardly any other friends, except"
2564,What a powerful start to a film when Julia Roberts character is punched in the face by her abusive and anal husband played by Patrick Bergin and I felt ready to experience a powerful film on the same 
2565,"This movie is banned in just about every foreign country I can think of. The Japanese people (?) who star in this must have been really desperate for a job, or we're just friends. Here's the scoop:<br"
2566,"It's a difficult movie to classify ""10 Items or Less"". Generally, I don't care about defining genres, but there's something about this movie that makes you want to put it in a specific category, in or"
2567,"...for this movie defines a new low in Bollywood and has set the standard against which all c**p must now be compared.<br /><br />First off, the beginning did have elements of style....and if handled "
2568,"Metro-Goldwyn-Mayer is a very lost player in the short cartoon market. This market is essentially dominated by the Looney Tunes and the Merry Melodies shorts, coming from Warner Bros. But MGM is also "
2569,The events of September 11 2001 do not need extra human interest in the shape of following the training of the rookie fireman or the progress of the two French brothers. In my view it would have been 
2570,"I did not like the pretentious and overrated Apocalypse Now. Probably my favorite Vietnam War film is The Deer Hunter. The Deer Hunter focused on one part of the war, and then focused on the lives bef"
2571,This is not a film you can really analyse separately from it's production. The audience became the film-makers to an extent unprecedented in the history of the American film industry; we felt so invol
2572,"This 1934 adaptation of Somerset Maugham's novel put Bette Davis on the map as a movie actress. She might have won an Academy Award for her performance but the films was made on loan, so her studio di"
2573,"This documentary begins with an interesting premise -- it makes an intriguing and convincing argument that the history of Jesus as is commonly believed is probably a myth. Sadly, though, after priming"
2574,"Tom is listening to one of those old-time radio broadcasts, something kids from the 1950s to today would watch on TV. However, they didn't television when this cartoon was made so people got their ent"
2575,"I don't know what this movie is about, really. It's like a student's art school project. They never say why the world is dark, but it is always darkness except for seconds a day. There are long, inter"
2576,"I saw this movie the first time at about twelve o'clock on a Saturday evening. It really is the perfect time for this one. I have never, EVER seen a movie that was actually more predictable and drench"
2577,"This early role for Barbara Shelley(in fact,her first in Britain after working in Italy),was made when she was 24 years old,and it's certainly safe to say that she made a stunning debut in 1957's ""Cat"
2578,"Despite, or perhaps in part because of the clever use of music to underscore the motivations and ideologies of each of the major characters, stereotypes are in, and verisimilitude and characterization"
2579,George Brent is a reporter sent to interview an heiress. She is supposedly the heir to a face cream fortune. He interviews her on her yacht. They fall for each other in bathing costumes.<br /><br />It
2580,I read reviews on this movie and decided to give it a shot. I'm an open minded guy after all and I’ve given good reviews to some pretty bad flicks. As the end credits rolled on this one I searched for
2581,"There is a bit of trivia which should be pointed out about a scene early in the movie where Homer watches the attempt of December 6, 1957 (at least that was the video used on the TV he was watching) w"
2582,"Anyone who knows me even remotely can tell you that I love bad movies almost as much as I love great ones, and I can honestly say that I have finally seen one of the all-time legendary bad movies: the"
2583,"I think I usually approach film festival comedies with the low expectation that they will invariably be ""quirky,"" and that any intended humor will be derived solely at the expense of the characters' s"
2584,"This movie is just plain silly. Almost every scene has some bit of humor: running gags, slapstick, and great jokes. The acting isn't that great, and the plot is cliche, but the jokes more than make up"
2585,"Curiously, it is Rene Russo's eyes and mouth--not Buddy the Gorilla's-- that emerge as the focal point of ""Buddy"", a Jim Henson Pictures production through Francis Ford Coppola's Zoetrope. Somehow, co"
2586,"Is this your typical women in chains navy transport love story? Maybe, hell, you know how the formula works by now, pretty woman is introduced in to a picture, someone has to fall in love with her.<br"
2587,"If you want to laugh like crazy, rent Cage. Cage is about two war heroes, Billy and Scott who are best friends. When Billy is shot in Vietnam, he is unable to fend for himself, so Scott takes him in.<"
2588,"We see a body of dead girl in a morgue with the coroner trying to close the eyes of the girl, but whatever he tries they won't stay open. After this we move into the future and we follow a group of fo"
2589,"I had no idea what Jane Eyre was before I saw this miniseries. I had read and watched many classics before, and I believed that most classics were boring, over-worded, and overrated stories with moder"
2590,"The quintessential road movie...if your idea of a road movie involves three would-be magicians with Eastern European accents and Claire Forlani. (Well, one out of four ain't bad...) A no-talent magici"
2591,"This reboot is like a processed McDonald's meal compared to Ang Lee's very good but very underrated 2003 ""The Incredible Hulk"".<br /><br />Ang Lee's ""The Hulk"" is a comic book movie for the thinking p"
2592,"From the start, you know this is a Sam Sherman film more than an Al Adamson film because as the credits roll, ""A Sam Sherman Production"" appears in letters as big as the title credit. Not only that, M"
2593,"I generally LIKE watching Burt Lancaster's films--especially when he is needed to go nuts with his imposing screen presence like in Elmer Gantry. However, his greatest strength, his magnetism, was occ"
2594,"I don't understand why the reviews of this film are so universally bad, unless I'm just off my rocker. I found it sick, brilliant, twisted, and psychologically sophisticated. You won't get deeper into"
2595,"Lin McAdam (James Stewart) wins a rifle, a Winchester in a shooting contest.Dutch Henry Brown (Stephen McNally) is a bad loser and steals the gun.Lin takes his horse and goes after Dutch and his men a"
2596,"Answer: despite that fact that this film was written and directed by a woman, your ex is creepier, nastier, and more irrational than any zombie that ever lurched the earth.<br /><br />The acting in th"
2597,"First of all, when people hear 'GUY RITCHIE', they immediately think of SNATCH. Yes, Snatch was a good movie, but the problem is that everyone associates Guy Ritchie to Snatch. They don't expect him t"
2598,"I really must watch a good movie soon, because it seems every other entry or so is something that I despise. However my history speaks, I must not tell a lie. Bobby Deerfield and everything about it s"
2599,"It's a strange feeling to sit alone in a theater occupied by parents and their rollicking kids. I felt like instead of a movie ticket, I should have been given a NAMBLA membership.<br /><br />Based up"
2600,"a bit slow and boring, the tale of an old man and his wife living a delapidated building and interacting with a fixed cast of characters like the mailman, the brothers sitting on the porch, the wealth"
2601,"Three years ago, Rachel(Therese Fretwell) was partying at the lake with her friends when her brother falls out of a boat and drowns. Rachel's friends think it is time for her to stop beating herself u"
2602,"for those of you who were desperate to find out what happened to Twitch in the original movie, heres your chance, and then get back to the real world.<br /><br />The guy who hid the gold in the first "
2603,"This is not horror, as the first part was: This is (""campy"") light and humorous entertainment. Like in so many sequels, the action starts right away with no explanations. But there's boobs, so I don't"
2604,"As an employee of the Swedish Air Force I enjoyed the nice Gripen and Hkp 9 (MBB Bo 105) flight scenes in this movie. One of the few disappointments was the EWS 39 jammer pod, in this case an inert Rb"
2605,"Definitely an odd debut for Michael Madsen. Madsen plays Cecil Moe, an alcoholic family man whose life is crumbling all around him. Cecil grabs a phone book, looks up the name of a preacher, and calls"
2606,"Oh, well, this movie starts off well. It's kinda funny and seems like it could be a fun movie. Then it becomes a bit serious and goes off the rails. It sort of wants to be 'Boogie Nights' but it can't"
2607,"wow! i watched the trailer for this one and though 'nah, this one is not for me'. i watched my husband and our friend's faces during the trailer, and knew this was a 'boy movie'. i mean, hallo! a bunc"
2608,"Steven Spielberg wanted to win an Oscar so bad that he figured that he wouldn't win by directing special effects epics (he was nominated for three of them: ""Close Encounters of the Third Kind"", ""Raide"
2609,Barman directed Any Way the Wind Blows as he would sing a dEUS song. Anarchy rules over a logical and common strain of thoughts. The story behind this movie just goes any which way the wind blows. And
2610,"Practically the only other actor who would be less likely to play Evel Knieval than Hamilton is Anthony Perkins, yet somehow Hamilton manages to turn in a reasonably effective portrayal (and as produc"
2611,"This movie portrays Ruth as a womanizing, hard drinking, gambling, overeating sports figure with a little baseball thrown in. Babe Ruths early life was quite interesting and this was for all intents a"
2612,This episode introduced the Holodeck to the TNG world. The Jarada have to be contacted and a precise greeting must be delivered or it would greatly insult them. A tired Picard decides to take a trip i
2613,"This film takes place in the 1950s. According to this the dead (called zombies) have arisen to eat the living. However a company has developed a collar that, when put around the zombies neck, makes th"
2614,"Eric Rohmer's ""The Lady and the Duke"". could have used a better translation for the title. ""The English Woman and the Duke"", perhaps, would have been more accurate. While it's obvious this film is not"
2615,"Interesting story about a soldier in a war who misses out on saving the life of a young girl from the enemy and is haunted by this event, even though he did save many other captive children. The film "
2616,"In the days before gore and sex took over, real horror films were made. Castle of Blood is, in my estimation, one of the finest, although other reviewers have given it mixed ratings. In an odd sort of"
2617,"It is said that David Lynch's films and shorts won't appeal to everyone. Neither will Dumbland, maybe more than ever. I have a feeling that Dumbland, as people come across it, will be a true mark of '"
2618,"Barbara Streisand directs and stars in this very Jewish story.<br /><br />To have a chance at obtaining an education, Babs enthusiastically disguises herself as a boy which isn't the most difficult th"
2619,"All of the X-Men movies were great. And I mean all of them, including the long hated X-Men 3. They had solid characters (Magneto and Xavier were the best ones, in my opinion), and a good story arch.<b"
2620,"I went to see this movie expecting a nice relaxing time in the theater with my younger sister. Instead, I had to really control myself in order to convince her that I was not scared. In many ways stil"
2621,I gave this a four purely out of its historical context. It was considered lost for many years until it popped up out of the blue on Showtime in the early nineties.<br /><br />Moe is the straight man 
2622,"Four porn stars romping through the Irish woods sounds like a film to watch. We have Ginger Lynn Allen, Chasey Lain, Taylor Hayes, and Jenna Jameson all together in one film. Are you licking your lips"
2623,"Spanish horror icon Paul Naschy stars in this, one of his weakest werewolf films... but bear with me for a moment. Most people will be familiar with it under its most common television title, THE FURY"
2624,"The original Trancers is not by any means a great movie. It had massive plot holes and very little in the way of internal logic. However, it was entertaining, better done than most low-budget B-movies"
2625,"I looked forward to seeing this movie when it came out, since I was a huge SNL fan. When my boyfriend and I went to see it, the people coming out of the early show were yelling, ""Don't waste your mone"
2626,Salvage: 4 out of 10. Groundhog Day meets a Christian Coalition horror film. Okay maybe it's not that bad. But it is close.<br /><br />Claire (played by Alicia Silverstonesque Lauren Currie Lewis) is 
2627,"Maria Braun got married right in the middle of combat all around her and her husband Hermann. An explosion ripped through the building, to begin with, and she and Hermann had to sign the papers on a p"
2628,"Although I have enjoyed Bing Crosby in other movies, I find this movie to be particularly grating. Maybe because I'm from a different era and a different country, but I found Crosby's continual refere"
2629,"When the young Kevin gets the boat of his dead uncle as a gift, he invites five friends of him to a trip to Catalina Island for the weekend. While in the journey, they drink booze, have sex and play g"
2630,So it starts with a beautiful old house in the country. You have a group of people who get asked to come to this house and (not surprisingly) the caretakers always lock the gates at night for no appar
2631,"Ok, basically this is a popcorn sci-fi movie, but from the outset its obvious that it has been directed with a great deal of intelligence. You can count about 10 clichés that the film is building up t"
2632,"This will be brief. Let me first state that I'm agnostic and not exactly crazy about xtians, especially xtian fanatics. However, this documentary had a tone of the like of some teenager angry at his x"
2633,"Making a book into a movie by following the story page-by-page is NEVER a good idea. When people read the book, they automatically start making their own ""mental movie"" of who the characters look like"
2634,"When I saw that IMDb users rated this movie the bottom 250 movies, I thought it was too harsh but little did I know that the low rating was absolutely correct.<br /><br />I am a big fan of the Wayans "
2635,"Say what you want about Andy Milligan - but if his family was even 10% as deranged as the one in this film, well then I guess he could have turned out worse. Unfortunately, the video print of this fil"
2636,"I am a sucker for films like this. Films that take you back and let you relive your childhood. I'm a grown up now and have many grown up responsibilities like a mortgage, kids, dogs, a wife and a slew"
2637,"When I was a teen-ager seeing this film for the first time, I thought it was one of the best movies ever made. Of course, the reason for that is Bo Derek and her various states of undress in this film"
2638,"A retired diplomat, played nicely by Michael York, goes to Russia to get revenge on the Russian gangster that murdered the diplomat's policeman son. There the diplomat meets an exceptionally strong an"
